id,foliage,stem,branch,stem_snag,branch_snag,coarse_rrot,fine_root,branch_snag_split,coarse_ag_split,fine_ag_split
1,0.050000001,0.0177,0.029999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
2,0.100000001,0.0177,0.039999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
3,0.100000001,0.0177,0.039999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
4,0.100000001,0.0177,0.039999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
5,0.150000006,0.0177,0.039999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
6,0.150000006,0.0177,0.039999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
7,0.949999988,0.0177,0.039999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
8,0.949999988,0.0177,0.039999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
9,0.949999988,0.0177,0.029999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
10,0.949999988,0.0177,0.039999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
11,0.949999988,0.0177,0.039999999,0.032000002,0.100000001,0.02,0.641,0.25,0.5,0.5
